time,median_virus_load,lower_bound,upper_bound,f1,f2
0,30063.697221096772,25302.20556705163,30646.408261586446,0.00544576144000677,0.9954406076068532
1,17701042.687775724,519973.9826761546,60648630.85152939,0.0019200771734445947,0.9899342562937451
2,59952998.945935756,6136431.835452936,141098096.42561096,0.0015095704837236614,0.9593177764858803
3,156280710.81333333,42417076.62434108,320641906.1323935,0.0013763002848303121,0.8740369233048894
4,293056925.340155,118053952.88324188,477338550.6780736,0.0011110119349552405,0.7085742891926888
5,308124196.2783218,160239389.69109783,481420344.2981213,0.0008264178676273085,0.5326977730540327
6,210367541.4101627,93341031.56784694,350817658.5138638,0.0006525552221976533,0.4224627495570151
7,115702386.13354366,32319617.933275793,228658892.5529338,0.0005689631084072459,0.36768522935717196
8,55502673.54503576,10203867.729361847,146304207.04120624,0.0005306985855299854,0.3418859521728861
9,24790685.880525917,3055727.86927504,92705770.89449558,0.0005131374322277092,0.3297311426659468
10,10795960.863782989,880646.6918430245,54955542.917459115,0.0005049433370612722,0.3239146335776589
11,4710045.456138514,256340.94838796594,32417789.73613634,0.0005010392464848156,0.3210731407832274
12,2025423.9144802594,74836.93386751627,19114172.23514348,0.0004991365650834745,0.3196529020619778
13,874835.0897587845,21846.499248622466,11154805.993713943,0.0004981870891742677,0.31892566477039097
14,378631.7115893053,6343.158507403314,6468570.191214218,0.0004977015461758934,0.3185438039457373
15,163192.7121026151,1735.1792071100417,3738470.9915813566,0.0004974469066484583,0.31833804700823315
16,69872.21334391827,487.02351075865863,2156259.2782857227,0.000497309861697953,0.31822423152099333
17,30447.122486786993,136.29459997025359,1242228.9325470184,0.0004972341376274813,0.31815959899631
18,13075.722506313397,37.75513720735643,715172.4475614002,0.0004971911750243201,0.31812193722531196
19,5648.579349705483,11.053827523323466,411577.9715791803,0.000497166155359961,0.31809944021873526
20,2471.4585605714824,3.127967294820334,236808.31152225033,0.000497151211891745,0.31808568423157696
21,1081.130682893221,0.896841061596047,135851.93199644776,0.0004971420702798463,0.31807708998351786
22,467.18240578204166,0.2635445037016835,77286.7142575992,0.0004971363522150856,0.3180716150674515
23,203.06725068834186,0.07349491085010375,44968.51340464595,0.0004971327024351963,0.3180680663827504
24,87.82618963498828,0.020002587348068545,25930.501762395765,0.0004971303301856324,0.3180657309669445
25,37.77530171392013,0.005656337326703448,14915.342581332205,0.0004971287633535824,0.3180641735072523
26,16.335969645151327,0.001599512521778476,8542.497043233207,0.0004971277138143904,0.31806312284414734
