time,median_virus_load,lower_bound,upper_bound,f1,f2
0,29983.304393314917,29920.128785429388,30152.24368489642,0.005089159821294178,0.9937055248047263
1,13987284.556422245,282710.3873905962,37407691.86706752,0.0017964207236397926,0.9882184964032742
2,47526713.09368184,2686746.3866393976,123793057.18406233,0.0014436101446205262,0.9561897894153322
3,141614041.17399696,24480022.698347926,344891790.13536024,0.0012986715725631895,0.8577917824080773
4,290934107.6244198,102638424.78984632,483670076.4768474,0.0009979097991800402,0.6635772358190433
5,308645675.34991264,146979832.14128247,461659289.7792043,0.0006785835839977969,0.4606891441820215
6,211474466.94464916,71125804.93917727,344938095.6423605,0.0004944069069879686,0.3396694710308087
7,110461919.89004947,24124146.94253796,228951610.12116203,0.00041188273735260294,0.2826124302291963
8,50548309.365552984,7410532.08815993,143914020.6696195,0.000375772676771007,0.2565977297070083
9,22452723.251791682,1965760.800740605,90103702.26159427,0.00035964167966418914,0.24458569006269426
10,9813350.368787054,576538.6570031119,53700869.998835266,0.00035225678503728904,0.2389277611042416
11,4277199.160469233,152205.12104013114,30192781.024443023,0.00034879770833252076,0.23620833823525034
12,1819005.3859275428,41344.4300540641,17037980.19701608,0.0003471428088656715,0.23487491680122377
13,783889.595049605,10916.987240373386,9229762.804220194,0.0003463346886923464,0.234207417761193
14,337548.2234952672,2975.7498418193177,5019614.001099359,0.00034593166230653595,0.23386550435698752
15,145301.62053030706,802.2682953306949,2704613.251569557,0.0003457259419147654,0.23368555262081803
16,62537.733036042635,212.6637563644465,1495061.072032298,0.0003456180471317556,0.2335876530594036
17,26914.52487318689,55.507501855717855,845583.4258027858,0.0003455595724319327,0.23353219191114882
18,11582.962278287932,13.828465696274153,478043.49404618284,0.00034552659606471205,0.23349923353765065
19,4984.79783263868,3.830293238307483,270192.2857193071,0.0003455071089732146,0.23347858139292646
20,2145.2272097036143,1.0064527344022283,151605.33423053994,0.0003454949801412797,0.23346492162987403
21,923.2049302608681,0.26069387083514667,82483.21333251354,0.0003454870186022962,0.23345542082277856
22,397.3036310447818,0.06595475406662987,44642.709778311415,0.0003454815246547199,0.23344852394422033
23,170.9805778010322,0.01668637120526164,25097.66525857804,0.00034547756659271503,0.23344334611307407
24,73.58189231140359,0.004241856569686115,14019.271821875476,0.00034547461526742893,0.2334393612345422
25,31.66613752593371,0.0011315216408529622,7652.684196700655,0.00034547235711749073,0.23343624054763423
26,13.627595059580043,0.00030206340988664723,4172.270993054117,0.0003454705971795069,0.23343376760859647
